author,categories,categoryDetails,city,country,domain,gender,impressions,interest,queryId,queryName,reachEstimate,sentiment,url,impact
,[],[],Sincelejo,Colombia,twitter.com,male,242,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,positive,http://twitter.com/1/statuses/1357614726088445952,0.0
,[],[],Bogota,Colombia,twitter.com,female,626,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357614234604089344,0.0
,[9538837],"[{'id': '9538837', 'name': 'SPORTS', 'parentId': '9538829', 'parentName': 'THEME'}]",Bogota,Colombia,twitter.com,unknown,2012,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1195.0,negative,http://twitter.com/1/statuses/1357614091939033088,2.2
,[],[],Bogota,Colombia,twitter.com,unknown,2012,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1195.0,negative,http://twitter.com/1/statuses/1357613961689104385,2.2
,[],[],Cucuta,Colombia,twitter.com,female,2619,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1668.0,negative,http://twitter.com/1/statuses/1357613952730030081,5.0
,[],[],Cucuta,Colombia,twitter.com,female,2619,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1668.0,neutral,http://twitter.com/1/statuses/1357613750644330496,5.0
,[9546701],"[{'id': '9546701', 'name': 'SCARED', 'parentId': '9546694', 'parentName': 'EMOTION'}]",,Colombia,1lockers.net,unknown,0,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,,neutral,https://www.1lockers.net/actualidad-2/my-octopus-teacher-premio-al-mejor-documental-del-festival-labmecrazy/,
,"[9538858, 9538835]","[{'id': '9538858', 'name': 'VACCINE BOGOTA', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Bogota,Colombia,twitter.com,male,615,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,positive,http://twitter.com/1/statuses/1357612987721396225,0.0
,[],[],Bogota,Colombia,twitter.com,male,496,['Music'],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,positive,http://twitter.com/1/statuses/1357612919635259393,0.0
,[9538835],"[{'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",,Colombia,twitter.com,unknown,3576,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,2289.0,negative,http://twitter.com/1/statuses/1357612239100993538,7.6
